compositionRoleId;compositionId;name
5379515;5379491;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Bustamente</Name><Name language-id=""en_US"">Bustamente</Name><Name language-id=""sv_SE"">Bustamente</Name></root>"
5379514;5379491;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Ramon</Name><Name language-id=""en_US"">Ramon</Name><Name language-id=""sv_SE"">Ramon</Name></root>"
5379511;5379491;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Araquil</Name><Name language-id=""en_US"">Araquil</Name><Name language-id=""sv_SE"">Araquil</Name></root>"
5379516;5379491;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Sotilas</Name><Name language-id=""en_US"">Soldier</Name><Name language-id=""sv_SE"">Soldat</Name></root>"
5379510;5379491;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Anita, La Navarraise</Name><Name language-id=""en_US"">Anita, La Navarraise</Name><Name language-id=""sv_SE"">Anita, La Navarraise</Name></root>"
5379513;5379491;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Remigio</Name><Name language-id=""en_US"">Remigio</Name><Name language-id=""sv_SE"">Remigio</Name></root>"
5379512;5379491;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Garrido</Name><Name language-id=""en_US"">Garrido</Name><Name language-id=""sv_SE"">Garrido</Name></root>"
5227697;5227684;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Soutaja</Name><Name language-id=""en_US"">Soutaja</Name><Name language-id=""sv_SE"">Soutaja</Name></root>"
5227688;5227684;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Don Cesar de Bazan</Name><Name language-id=""en_US"">Don Cesar de Bazan</Name><Name language-id=""sv_SE"">Don Cesar de Bazan</Name></root>"
5227692;5227684;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Maritana, katulaulajatar</Name><Name language-id=""en_US"">Maritana, katulaulajatar</Name><Name language-id=""sv_SE"">Maritana, katulaulajatar</Name></root>"
5227695;5227684;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Kapteeni</Name><Name language-id=""en_US"">Kapteeni</Name><Name language-id=""sv_SE"">Kapteeni</Name></root>"
5325635;5227684;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Upseeri</Name></root>"
5227689;5227684;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Don Diego de Santarem</Name><Name language-id=""en_US"">Don Diego de Santarem</Name><Name language-id=""sv_SE"">Don Diego de Santarem</Name></root>"
5227687;5227684;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Kaarlo II, Espanjan kuningas</Name><Name language-id=""en_US"">Kaarlo II, Espanjan kuningas</Name><Name language-id=""sv_SE"">Kaarlo II, Espanjan kuningas</Name></root>"
5325634;5227684;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Alcalde</Name></root>"
5227694;5227684;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Perez</Name><Name language-id=""en_US"">Perez</Name><Name language-id=""sv_SE"">Perez</Name></root>"
5227696;5227684;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Don Alvar</Name><Name language-id=""en_US"">Don Alvar</Name><Name language-id=""sv_SE"">Don Alvar</Name></root>"
5227698;5227684;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Tuomari</Name><Name language-id=""en_US"">Tuomari</Name><Name language-id=""sv_SE"">Tuomari</Name></root>"
5227691;5227684;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Markisinna de Montefior</Name><Name language-id=""en_US"">Markisinna de Montefior</Name><Name language-id=""sv_SE"">Markisinna de Montefior</Name></root>"
5227690;5227684;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Markiisi de Montefior</Name><Name language-id=""en_US"">Markiisi de Montefior</Name><Name language-id=""sv_SE"">Markiisi de Montefior</Name></root>"
5227693;5227684;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,sv_SE,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Lazarillo</Name><Name language-id=""en_US"">Lazarillo</Name><Name language-id=""sv_SE"">Lazarillo</Name></root>"
4551942;4551939;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Nicias, filosof</Name></root>"
4551943;4551939;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Palémon, gammal munk</Name></root>"
4551945;4551939;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Thaïs, kurtisan</Name></root>"
4551946;4551939;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Crobyle, slafvinna</Name></root>"
4551941;4551939;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Athanael, ung munk</Name></root>"
4551944;4551939;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">En väktare</Name></root>"
4551948;4551939;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Albine, abedissa</Name></root>"
4551947;4551939;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Myrtale, slafvinna</Name></root>"
14322596;4368045;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Emmeline ihre Tochter</Name></root>"
14322597;4368045;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Jacob Friburg, ein Hirte von den Schweizer-Alpen</Name></root>"
14322594;4368045;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Richard Boll, ein Schweizer Bauer</Name></root>"
14322598;4368045;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Paul, Durrmanns Vetter</Name></root>"
14322592;4368045;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Graf Wallstein, ein reicher Gutsbesitzen in Deutschland</Name></root>"
14322595;4368045;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Gertrude, sein Weib</Name></root>"
14322593;4368045;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Durrmann, sein Verwalter</Name></root>"
3582987;3582979;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Purgantius</Name></root>"
3582992;3582979;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Babette</Name></root>"
3582991;3582979;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Henrik</Name></root>"
3582988;3582979;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Bombastus</Name></root>"
3582982;3582979;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Margareta</Name></root>"
3582990;3582979;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Ichreyer</Name></root>"
3582995;3582979;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Dorothea</Name></root>"
3582981;3582979;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">von Borthal</Name></root>"
3582983;3582979;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Sophie</Name></root>"
3582986;3582979;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Pumpernickel</Name></root>"
3582989;3582979;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Stöpsel</Name></root>"
3582985;3582979;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">von Littau</Name></root>"
3582993;3582979;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Sebastian</Name></root>"
3582994;3582979;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Phillippina</Name></root>"
3582984;3582979;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Kapten Borthal</Name></root>"
