producerId;name;additionalInfo
3559198;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Filip von Schantz</Name></root>";"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><AdditionalInfo language-id=""fi_FI"">Kompositör och kapellmästare. Ordnade konserter vid Nya teatern 1860-1861.</AdditionalInfo></root>"
4340976;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Djurströmska sällskapet (Hedvig Charlotta Djurström)</Name></root>";
4362267;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Oscar Anderssons sällskap</Name></root>";
4368031;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Sällskapstheatern</Name></root>";
4550696;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Direktör Zimmermans ryska operasällskap</Name></root>";
4637245;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Suomalainen Teatteri</Name></root>";
4737551;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Aino Ackté</Name></root>";
5246503;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI,en_US,"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Italienska operan (Nikolai Miller)</Name><Name language-id=""en_US"">Italian Opera Troup (Nikolai Miller)</Name></root>";"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><AdditionalInfo language-id=""fi_FI"">Italienska operan under ledning af Direktör Nikolai Müller</AdditionalInfo></root>"
5799106;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Aino Ackté &amp; Edvard Fazer</Name></root>";
14318984;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><Name language-id=""fi_FI"">Deutschen Schauspieler-Gesellschaft</Name></root>";
